example_id                                                  | status  | run_time        |
./spec/models/setting_spec.rb[1:4:1]                        | passed  | 0.02806 seconds |
./spec/models/setting_spec.rb[1:5:1]                        | passed  | 0.02544 seconds |
./spec/models/site_spec.rb[1:1]                             | passed  | 0.01414 seconds |
./spec/models/site_spec.rb[1:2]                             | passed  | 0.00299 seconds |
./spec/models/site_spec.rb[1:3]                             | passed  | 0.00158 seconds |
./spec/models/site_spec.rb[1:4]                             | passed  | 0.00167 seconds |
./spec/models/site_spec.rb[1:5:1]                           | passed  | 0.01121 seconds |
./spec/models/site_spec.rb[1:5:2]                           | passed  | 0.01248 seconds |
./spec/models/step_spec.rb[1:1:1]                           | passed  | 0.03904 seconds |
./spec/models/step_spec.rb[1:2:1]                           | passed  | 0.00228 seconds |
./spec/models/step_value_spec.rb[1:1]                       | pending | 0.00001 seconds |
./spec/models/text_message_spec.rb[1:1:1]                   | passed  | 0.00137 seconds |
./spec/models/text_message_spec.rb[1:1:2]                   | passed  | 0.00104 seconds |
./spec/models/text_message_spec.rb[1:2]                     | passed  | 0.00107 seconds |
./spec/models/text_message_spec.rb[1:3]                     | passed  | 0.00128 seconds |
./spec/models/text_variable_spec.rb[1:1]                    | passed  | 0.00102 seconds |
./spec/models/ticket_spec.rb[1:1:1]                         | passed  | 0.00105 seconds |
./spec/models/ticket_spec.rb[1:1:2]                         | passed  | 0.00088 seconds |
./spec/models/ticket_spec.rb[1:1:3]                         | passed  | 0.00092 seconds |
./spec/models/ticket_spec.rb[1:1:4]                         | passed  | 0.00085 seconds |
./spec/models/ticket_spec.rb[1:1:5]                         | passed  | 0.00087 seconds |
./spec/models/ticket_spec.rb[1:1:6]                         | passed  | 0.00097 seconds |
./spec/models/ticket_spec.rb[1:2:1]                         | passed  | 0.00102 seconds |
./spec/models/ticket_spec.rb[1:2:2]                         | passed  | 0.00121 seconds |
./spec/models/ticket_spec.rb[1:2:3]                         | passed  | 0.00115 seconds |
./spec/models/ticket_spec.rb[1:3:1]                         | passed  | 0.02805 seconds |
./spec/models/ticket_spec.rb[1:3:2]                         | passed  | 0.02632 seconds |
./spec/models/ticket_spec.rb[1:4:1]                         | passed  | 0.00135 seconds |
./spec/models/track_spec.rb[1:1:1]                          | passed  | 0.00096 seconds |
./spec/models/track_spec.rb[1:2:1]                          | passed  | 0.00168 seconds |
./spec/models/track_spec.rb[1:2:2]                          | passed  | 0.00125 seconds |
./spec/models/track_spec.rb[1:2:3]                          | passed  | 0.00133 seconds |
./spec/models/track_spec.rb[1:3:1]                          | passed  | 0.00343 seconds |
./spec/models/track_spec.rb[1:4:1]                          | passed  | 0.00108 seconds |
./spec/models/user_spec.rb[1:1]                             | passed  | 0.00136 seconds |
./spec/models/user_spec.rb[1:2]                             | passed  | 0.00147 seconds |
./spec/models/user_spec.rb[1:3]                             | passed  | 0.00716 seconds |
./spec/models/variable_spec.rb[1:1:1]                       | passed  | 0.00108 seconds |
./spec/models/variable_value_spec.rb[1:1]                   | pending | 0.00001 seconds |
./spec/models/voice_message_spec.rb[1:1:1]                  | passed  | 0.00124 seconds |
./spec/models/voice_message_spec.rb[1:1:2]                  | passed  | 0.00117 seconds |
./spec/models/voice_message_spec.rb[1:2]                    | passed  | 0.00101 seconds |
./spec/models/voice_message_spec.rb[1:3]                    | passed  | 0.00122 seconds |
./spec/models/voice_variable_spec.rb[1:1]                   | passed  | 0.00516 seconds |
./spec/policies/admin_policy_spec.rb[1:1:1]                 | passed  | 0.00307 seconds |
./spec/policies/admin_policy_spec.rb[1:2:1]                 | passed  | 0.0026 seconds  |
./spec/policies/admin_policy_spec.rb[1:3:1]                 | passed  | 0.00291 seconds |
./spec/policies/manifest_policy_spec.rb[1:1:1]              | passed  | 0.00302 seconds |
./spec/policies/manifest_policy_spec.rb[1:2:1]              | passed  | 0.00324 seconds |
./spec/policies/manifest_policy_spec.rb[1:3:1]              | passed  | 0.0028 seconds  |
./spec/policies/message_policy_spec.rb[1:1:1]               | passed  | 0.01411 seconds |
./spec/policies/message_policy_spec.rb[1:2:1]               | passed  | 0.0148 seconds  |
./spec/policies/message_policy_spec.rb[1:3:1]               | passed  | 0.01354 seconds |
./spec/policies/site_policy_spec.rb[1:1:1]                  | passed  | 0.00358 seconds |
./spec/policies/site_policy_spec.rb[1:2:1]                  | passed  | 0.00298 seconds |
./spec/policies/site_policy_spec.rb[1:3:1]                  | passed  | 0.00284 seconds |
./spec/policies/system_admin_policy_spec.rb[1:1:1]          | passed  | 0.00278 seconds |
./spec/policies/system_admin_policy_spec.rb[1:2:1]          | passed  | 0.00303 seconds |
./spec/policies/system_admin_policy_spec.rb[1:3:1]          | passed  | 0.00331 seconds |
./spec/policies/text_variable_policy_spec.rb[1:1:1:1]       | passed  | 0.0028 seconds  |
./spec/policies/text_variable_policy_spec.rb[1:1:2:1]       | passed  | 0.0026 seconds  |
./spec/policies/text_variable_policy_spec.rb[1:1:3:1]       | passed  | 0.00279 seconds |
./spec/policies/user_policy_spec.rb[1:1:1:1]                | passed  | 0.00448 seconds |
./spec/policies/user_policy_spec.rb[1:1:2:1]                | passed  | 0.00434 seconds |
./spec/policies/user_policy_spec.rb[1:1:3:1]                | passed  | 0.00375 seconds |
./spec/policies/user_policy_spec.rb[1:2:1:1]                | passed  | 0.00423 seconds |
./spec/policies/user_policy_spec.rb[1:2:2:1]                | passed  | 0.00951 seconds |
./spec/policies/user_policy_spec.rb[1:2:2:2:1]              | passed  | 0.00496 seconds |
./spec/policies/user_policy_spec.rb[1:2:2:3:1]              | passed  | 0.00596 seconds |
./spec/policies/user_policy_spec.rb[1:2:2:4:1]              | passed  | 0.00544 seconds |
./spec/policies/user_policy_spec.rb[1:2:3:1]                | passed  | 0.00849 seconds |
./spec/policies/user_policy_spec.rb[1:2:3:2:1]              | passed  | 0.00507 seconds |
./spec/policies/user_policy_spec.rb[1:2:3:3:1]              | passed  | 0.00514 seconds |
./spec/policies/user_policy_spec.rb[1:2:3:4:1]              | passed  | 0.005 seconds   |
./spec/policies/user_policy_spec.rb[1:3:1:1]                | passed  | 0.03859 seconds |
./spec/policies/user_policy_spec.rb[1:3:2:1]                | passed  | 0.03856 seconds |
./spec/policies/user_policy_spec.rb[1:3:3:1]                | passed  | 0.03941 seconds |
./spec/policies/variable_policy_spec.rb[1:1:1:1]            | passed  | 0.00308 seconds |
./spec/policies/variable_policy_spec.rb[1:1:2:1]            | passed  | 0.00287 seconds |
./spec/policies/variable_policy_spec.rb[1:1:3:1]            | passed  | 0.00271 seconds |
./spec/policies/voice_variable_policy_spec.rb[1:1:1:1]      | passed  | 0.00267 seconds |
./spec/policies/voice_variable_policy_spec.rb[1:1:2:1]      | passed  | 0.00261 seconds |
./spec/policies/voice_variable_policy_spec.rb[1:1:3:1]      | passed  | 0.00332 seconds |
